chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1737808921,2025-01-25T12:42:01Z,PD3V,PI1SHB?,71(12/13),1,`,PD3V,/-,51.601833,5.228333,0.0,,,,,,Mic-Emsg,In Service,,- QRV: Tom_1
0,1737808938,2025-01-25T12:42:18Z,PI1SHB,PI1SHB,77(12/13),1,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737808942,2025-01-25T12:42:22Z,PI1DRV,PI1DRV,62(19/20),0,!,PI1DRV,T#,52.208167,4.881667,,,,,,,"DireWolf, WB2OSZ",,,/Digi Mijdrecht (DireWolf 1.4)
0,1737808952,2025-01-25T12:42:32Z,PI1SHB,PI1SHB,72(14/14),1,T,PI1SHB,/ ,,,,,,,,,>40 APRSmax,,"Seq=929, Avg 10m=0.0555 Rx Erlang, Avg 10m=0.0280 Tx Erlang, RxPkts=47.0 count/10m, IGateDropRx=47.0 count/10m, TxPkts=24.0 count/10m, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1737809108,2025-01-25T12:45:08Z,PA5JB-2,PI1DRV,63(19/20),0,',PA5JB-2,/#,52.167500,4.534167,0.0,,,,,,Kenwood TM-D710,In Service,,Leiderdorp
0,1737809155,2025-01-25T12:45:55Z,PA2WDR-10,PI1SHB?,78(14/13),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737809185,2025-01-25T12:46:25Z,PA2WDR-10,PA2WDR-10,69(11/13),1,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737810248,2025-01-25T13:04:08Z,PA7DA-9,PI1DRV,63(19/21),0,`,PA7DA-9,/>,52.155000,4.664667,10.0,78.0,-36.0,,,,Yaesu FTM-100D,En Route,,MET JAAP OP PAD
0,1737810250,2025-01-25T13:04:10Z,PB2JJ-9,PB2JJ-9,57(13/14),0,`,PB2JJ-9,/>,52.061667,5.087333,40.0,280.0,-7.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810370,2025-01-25T13:06:10Z,PB2JJ-9,PB2JJ-9,61(13/12),1,`,PB2JJ-9,/>,52.070000,5.049000,40.0,283.0,-6.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810417,2025-01-25T13:06:57Z,PI1DFT-2,PI1SHB,76(12/12),1,@,PI1DFT-2,/#,51.995000,4.335833,,,,432.500,,,SQ3PLX http://microsat.com.pl/,,,PI1DFT.432.500 MHz Digi Delft
0,1737810462,2025-01-25T13:07:42Z,PA7DA-9,PI1DRV,62(19/21),0,`,PA7DA-9,/>,52.183167,4.672333,39.0,10.0,-31.0,,,,Yaesu FTM-100D,En Route,,MET JAAP OP PAD
0,1737810564,2025-01-25T13:09:24Z,PD0PYL,PD0PYL,55(15/13),0,',PD0PYL,/-,52.046500,4.468167,0.0,,,,,,Kenwood TM-D700,Off Duty,,
0,1737810565,2025-01-25T13:09:25Z,PD0PYL,PI1DRV,61(20/20),0,',PD0PYL,/-,52.046500,4.468167,0.0,,,,,,Kenwood TM-D700,Off Duty,,
0,1737810581,2025-01-25T13:09:41Z,PA2WDR-10,PA2WDR-10,68(11/12),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737810610,2025-01-25T13:10:10Z,PB2JJ-9,PB2JJ-9,46(14/12),0,`,PB2JJ-9,/>,52.080667,4.962167,51.0,269.0,-15.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810611,2025-01-25T13:10:11Z,PB2JJ-9,PI1DRV,65(20/20),0,`,PB2JJ-9,/>,52.080667,4.962167,51.0,269.0,-15.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810677,2025-01-25T13:11:17Z,PA2WDR-10,PA2WDR-10,72(11/12),1,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737810727,2025-01-25T13:12:07Z,PB2JJ-9,PB2JJ-9,46(11/13),0,`,PB2JJ-9,/>,52.077333,4.921833,47.0,238.0,-12.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810729,2025-01-25T13:12:09Z,PB2JJ-9,PI1DRV,65(19/20),0,`,PB2JJ-9,/>,52.077333,4.921833,47.0,238.0,-12.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810739,2025-01-25T13:12:19Z,PI1SHB,PI1SHB,74(11/13),1,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737810744,2025-01-25T13:12:24Z,PI1DRV,PI1DRV,63(20/20),0,!,PI1DRV,T#,52.208167,4.881667,,,,,,,"DireWolf, WB2OSZ",,,/Digi Mijdrecht (DireWolf 1.4)
0,1737810780,2025-01-25T13:13:00Z,PB2JJ-9,PB2JJ-9,47(15/13),0,`,PB2JJ-9,/>,52.072333,4.905500,36.0,275.0,-11.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810811,2025-01-25T13:13:31Z,PB2JJ-9,PB2JJ-9,62(13/14),1,`,PB2JJ-9,/>,52.074000,4.902000,23.0,359.0,-13.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810812,2025-01-25T13:13:32Z,PB2JJ-9,PI1DRV,63(18/22),0,`,PB2JJ-9,/>,52.074000,4.902000,23.0,359.0,-13.0,430.050,+1600,88.5,Yaesu FTM-400DR,En Route,,
0,1737810850,2025-01-25T13:14:10Z,PA2WDR-10,PA2WDR-10,64(12/12),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
